course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits,title
CEN4010,Spring 2022,11120,Reddivari,67,38,56.72,23.68,13.16,18.42,23.68,18.42,3,35.29,55.88,7.35,0,0,3.28,1630,75,TR,51,1205,3,Software Engineering
CEN4010,Fall 2021,85755,Kanewala,23,18,78.26,50,33.33,11.11,0,0,4.41,8.69,52.17,21.74,4.35,8.7,2.42,1050,75,TR,15,1104,3,Software Engineering
CEN4010,Spring 2021,11125,Kanewala,55,44,80,38.64,36.36,15.91,6.82,0,4.09,32.73,54.55,10.91,0,1.82,3.1,1215,75,TR,Remote Instruction,,3,Software Engineering
CEN4010,Fall 2020,81643,Kanewala,14,14,100,42.86,14.29,28.57,7.14,0,4,28.58,21.43,50,0,0,2.81,1505,75,TR,15,1205,3,Software Engineering
CEN4010,Fall 2020,83782,Kanewala,20,15,75,26.67,26.67,20,13.33,6.67,3.57,20,40,30,5,5,2.62,1340,75,TR,15,1205,3,Software Engineering
CEN4010,Fall 2019,81915,Reddivari,25,7,28,28.57,14.29,28.57,0,14.29,3.5,60,36,4,0,0,3.56,1330,75,MW,2,2210,3,Software Engineering
CEN4010,Spring 2019,16599,Reddivari,38,12,31.58,58.33,33.33,8.33,0,0,4.5,36.84,52.63,10.53,0,0,3.26,1630,75,TR,15,1205,3,Software Engineering
CEN4010,Fall 2018,82567,Reddivari,23,5,21.74,40,20,20,20,0,3.8,37.5,37.5,16.67,0,4.17,3.09,1630,75,TR,15,1205,3,Software Engineering
CEN4010,Spring 2018,11887,Reddivari,36,14,38.89,35.71,35.71,14.29,7.14,0,4.08,58.33,30.56,2.78,2.78,5.56,3.33,1630,75,TR,51,1209,3,Software Engineering
CEN4010,Fall 2017,83168,Reddivari,23,8,34.78,62.5,12.5,12.5,0,12.5,4.13,21.74,60.87,13.04,0,4.35,2.96,1630,75,MW,15,1206,3,Software Engineering
CEN4010,Spring 2017,12430,Leas,46,9,19.57,44.44,33.33,0,0,0,4.57,73.91,17.39,0,8.7,0,3.6,1630,75,TR,51,1209,3,Software Engineering
CEN4010,Fall 2016,83184,Leas,20,7,35,28.57,42.86,28.57,0,0,4,36.36,54.54,0,0,0,3.46,1800,75,TR,15,1205,3,Software Engineering
