course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits
COP2220,Summer 2018,50513,Snedden,,,,,,,,,,36.84,42.11,5.26,0,10.53,3.00,1430,100,TR,15,1203,3
COP2220,Summer 2018,51388,Snedden,,,,,,,,,,36.84,42.11,15.79,0,0,3.22,1430,100,TR,15,1203,3
COP2220,Summer 2018,50512,Jethwani,,,,,,,,,,20,50,30,0,0,2.90,1240,100,TRF,15,1104,3
COP2220,Summer 2018,51387,Jethwani,,,,,,,,,,46.67,33.33,20,0,0,3.27,1240,100,TRF,15,1104,3
COP2220,Spring 2018,11570,Jethwani,34,17,50.00,17.65,23.53,35.29,11.76,5.88,3.38,35.14,29.73,16.22,5.41,5.41,2.91,1340,75,TR,15,1203,3
COP2220,Spring 2018,13427,Jethwani,24,7,29.17,42.86,14.29,14.29,28.57,0.00,3.71,17.86,17.86,21.43,14.29,14.29,2.11,1330,75,MW,15,1104,3
COP2220,Spring 2018,11571,Liu,34,14,41.18,21.43,14.29,28.57,28.57,7.14,3.14,22.5,35,12.5,0,15,2.59,1630,75,TR,15,1203,3
COP2220,Spring 2018,11569,Jethwani,33,14,42.42,14.29,21.43,21.43,21.43,21.43,2.86,47.22,16.67,22.22,5.56,0,3.15,1215,75,TR,15,1203,3
COP2220,Spring 2018,11486,Liu,37,19,51.35,15.79,15.79,42.11,21.05,5.26,3.16,29.27,39.02,14.63,0,7.32,2.92,1050,75,TR,15,1203,3
COP2220,Spring 2018,10012,Monsorno,27,13,48.15,23.08,0.00,15.38,23.08,38.46,2.46,10.26,35.899998,2.56,7.69,12.82,2.37,1630,75,MW,15,1203,3
COP2220,Fall 2017,81943,Jethwani,32,11,34.38,27.27,27.27,18.18,18.18,9.09,3.45,7.69,30.77,30.77,5.13,7.69,2.31,1050,75,TR,15,1104,3
COP2220,Fall 2017,81978,Roy,38,17,44.74,70.59,17.65,5.88,0.00,5.88,4.47,29.27,46.33,7.32,4.88,4.88,2.93,1505,75,TR,15,1203,3
COP2220,Fall 2017,80557,Jethwani,33,12,36.36,8.33,8.33,33.33,25.00,25.00,2.50,20.51,43.59,7.69,0,12.82,2.70,1500,75,MW,15,1203,3
COP2220,Fall 2017,80558,Roy,37,16,43.24,50.00,25.00,6.25,0.00,6.25,4.29,25.64,46.160004,12.82,0,10.26,2.80,1630,75,MW,15,1203,3
COP2220,Fall 2017,82579,Birchell,35,12,34.29,58.33,25.00,16.67,0.00,0.00,4.42,15.38,46.15,20.51,5.13,2.56,2.81,1930,75,TR,15,1203,3
COP2220,Fall 2017,81902,Jethwani,32,12,37.50,33.33,33.33,16.67,8.33,8.33,3.75,5.41,45.95,24.32,8.11,2.7,2.50,0925,75,TR,15,1104,3
COP2220,Summer 2017,50755,Spanton,34,11,32.35,63.64,18.18,9.09,9.09,0.00,4.36,20,19.99,8.57,8.57,37.14,1.73,1620,100,TR,50,3124,3
COP2220,Summer 2017,50754,Asaithambi,30,9,30.00,33.33,11.11,44.44,11.11,0.00,3.67,9.38,25,46.88,3.13,9.38,2.23,1050,100,MWF,15,1104,3
COP2220,Spring 2017,12426,Jethwani,32,9,28.13,11.11,22.22,22.22,11.11,33.33,2.67,5.41,13.51,35.14,13.51,18.92,1.69,1630,75,TR,15,1203,3
COP2220,Spring 2017,11848,Jethwani,31,10,32.26,20.00,10.00,10.00,30.00,30.00,2.60,2.56,23.08,33.33,2.56,17.95,1.87,1340,75,TR,15,1203,3
COP2220,Spring 2017,11847,Jethwani,37,16,43.24,12.50,6.25,18.75,12.50,50.00,2.19,2.38,21.43,42.86,7.14,14.29,1.89,1215,75,TR,15,1203,3
COP2220,Spring 2017,11733,Liu,21,8,38.10,12.50,12.50,25.00,37.50,12.50,2.75,9.09,18.18,21.21,0,15.15,2.10,0925,75,TR,15,1203,3
COP2220,Spring 2017,11846,Littleton,36,17,47.22,17.65,23.53,41.18,5.88,5.88,3.44,44.18,20.93,2.33,0,13.95,3.00,1050,75,TR,15,1203,3
COP2220,Spring 2017,10012,Spanton,29,13,44.83,38.46,30.77,7.69,7.69,15.38,3.69,21.43,21.419998,7.1400003,7.14,11.9,2.44,1630,75,MW,50,3124,3
COP2220,Fall 2016,83401,Littleton,19,10,52.63,40.00,20.00,0.00,10.00,30.00,3.30,34.62,15.389999,11.54,3.85,7.69,2.89,1100,50,MWF,50,3104,3
COP2220,Fall 2016,82569,Spanton,34,14,41.18,35.71,35.71,14.29,14.29,0.00,3.93,20,15.55,15.55,2.22,17.78,2.27,1630,75,MW,50,3124,3
COP2220,Fall 2016,80613,Liu,37,16,43.24,12.50,18.75,25.00,37.50,6.25,2.94,9.3,39.53,25.58,6.98,4.65,2.49,1050,75,TR,50,3124,3
COP2220,Fall 2016,82519,Jethwani,28,11,39.29,9.09,36.36,18.18,18.18,18.18,3.00,10.53,15.79,23.68,13.16,10.53,2.04,1330,75,MW,50,3124,3
