course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits,title
COT3100,Summer 2022,53491,Getahun,27,6,22.22,66.67,16.67,0,0,0,4.8,40.74,37.04,22.22,0,0,3.19,1430,100,TRF,4,1705,3,Computational Structures
COT3100,Spring 2022,10063,Jethwani,24,9,37.5,33.33,11.11,11.11,11.11,22.22,3.25,21.43,39.29,14.29,3.57,7.14,2.75,1200,75,MW,51,1101,3,Computational Structures
COT3100,Spring 2022,11985,Getahun,38,12,31.58,75,8.33,8.33,8.33,0,4.5,41.46,31.71,9.76,0,7.32,3.11,1630,75,TR,51,1101,3,Computational Structures
COT3100,Spring 2022,10992,Jethwani,19,10,52.63,40,30,10,0,10,4,33.33,4.76,47.62,0,4.76,2.68,1330,75,MW,51,1101,3,Computational Structures
COT3100,Spring 2022,11780,Getahun,41,17,41.46,52.94,41.18,5.88,0,0,4.47,78.05,17.07,2.44,0,2.44,3.68,1505,75,TR,51,1101,3,Computational Structures
COT3100,Fall 2021,86065,Liu,29,11,37.93,36.36,9.09,27.27,18.18,0,3.7,17.64,38.24,26.47,0,2.94,2.79,1330,75,MW,15,1104,3,Computational Structures
COT3100,Fall 2021,86108,Getahun,43,19,44.19,63.16,26.32,10.53,0,0,4.53,56.82,31.82,4.55,0,4.55,3.4,1505,75,TR,4,1703,3,Computational Structures
COT3100,Fall 2021,86401,Getahun,41,19,46.34,47.37,26.32,5.26,5.26,10.53,4,52.38,28.57,11.9,0,4.76,3.27,1630,75,TR,4,1703,3,Computational Structures
COT3100,Fall 2021,85819,Jethwani,34,14,41.18,7.14,50,28.57,7.14,7.14,3.43,8.33,30.56,44.44,0,8.33,2.33,1200,75,MW,15,1104,3,Computational Structures
COT3100,Summer 2021,51741,Getahun,39,23,58.97,56.52,21.74,8.7,4.35,4.35,4.27,67.5,20,7.5,0,2.5,3.54,1430,100,TRF,Remote Instruction,,3,Computational Structures
COT3100,Spring 2021,10997,Jethwani,21,17,80.95,41.18,23.53,17.65,5.88,11.76,3.76,23.81,47.62,28.57,0,0,2.95,1500,75,MW,50,1202,3,Computational Structures
COT3100,Spring 2021,10064,Jethwani,18,12,66.67,33.33,25,16.67,16.67,8.33,3.58,5.26,52.63,31.58,0,5.26,2.56,1330,75,MW,50,1202,3,Computational Structures
COT3100,Spring 2021,11993,Getahun,41,24,58.54,62.5,25,4.17,4.17,0,4.52,69.05,19.05,0,0,9.52,3.41,1630,75,TR,Remote Instruction,,3,Computational Structures
COT3100,Spring 2021,11788,Getahun,39,20,51.28,70,20,5,0,0,4.68,62.5,25,5,0,5,3.44,1505,75,TR,Remote Instruction,,3,Computational Structures
COT3100,Fall 2020,81720,Jethwani,40,31,77.5,35.48,16.13,22.58,12.9,6.45,3.66,13.64,47.73,25,0,4.55,2.73,1330,75,MW,15,1202,3,Computational Structures
COT3100,Fall 2020,82052,Jethwani,23,15,65.22,26.67,26.67,13.33,13.33,13.33,3.43,4.34,39.13,39.13,0,13.04,2.23,1630,75,MW,15,1202,3,Computational Structures
COT3100,Fall 2020,82704,Getahun,47,19,40.43,84.21,5.26,5.26,0,0,4.83,72.34,14.89,8.51,2.13,2.13,3.53,1630,75,TR,Remote Instruction,,3,Computational Structures
COT3100,Fall 2020,82117,Getahun,43,21,48.84,76.19,9.52,9.52,0,0,4.7,61.36,25,11.36,0,0,3.51,1505,75,TR,Remote Instruction,,3,Computational Structures
COT3100,Fall 2019,83552,Getahun,38,30,78.95,56.67,23.33,16.67,0,0,4.41,36.84,31.58,21.05,0,10.53,2.84,1505,75,TR,2,2010,3,Computational Structures
COT3100,Fall 2019,83554,Roy,38,16,42.11,37.5,25,12.5,12.5,0,4,30,50,7.5,0,7.5,2.95,1500,75,MW,57,1260,3,Computational Structures
COT3100,Fall 2019,82545,Morrison,18,10,55.56,20,70,10,0,0,4.1,63.16,21.05,5.26,0,0,3.65,1630,75,MW,4,1704,3,Computational Structures
COT3100,Fall 2019,82647,Getahun,30,19,63.33,52.63,26.32,10.53,0,5.26,4.28,38.71,25.81,25.81,3.23,3.23,2.97,1630,75,TR,2,2010,3,Computational Structures
COT3100,Fall 2019,82014,Ghosh,39,26,66.67,38.46,34.62,7.69,7.69,7.69,3.92,37.5,30,10,20,0,2.86,1330,75,MW,4,1703,3,Computational Structures
COT3100,Summer 2019,50032,Getahun,30,27,90,70.37,11.11,3.7,7.41,3.7,4.42,41.94,38.71,9.68,0,6.45,3.13,1430,100,TRF,9,1233,3,Computational Structures
COT3100,Spring 2019,16811,Gultepe,35,15,42.86,40,20,20,6.67,13.33,3.67,22.5,30,25,0,5,2.72,1630,75,MW,2,1018,3,Computational Structures
COT3100,Spring 2019,18380,Getahun,33,24,72.73,58.33,16.67,12.5,12.5,0,4.21,27.78,27.78,19.44,5.56,8.33,2.69,1505,75,TR,15,1202,3,Computational Structures
COT3100,Spring 2019,16366,Gultepe,34,18,52.94,38.89,22.22,22.22,5.56,11.11,3.72,30,32.5,12.5,0,10,2.78,1050,75,TR,2,2216,3,Computational Structures
COT3100,Spring 2019,15084,Getahun,34,22,64.71,54.55,18.18,22.73,4.55,0,4.23,16.22,27.03,27.03,13.51,5.41,2.39,1630,75,TR,15,1206,3,Computational Structures
COT3100,Fall 2018,82757,Gultepe,53,16,30.19,37.5,18.75,31.25,6.25,6.25,3.75,10.72,37.5,41.07,1.79,3.57,2.52,1330,75,MW,4,1704,3,Computational Structures
COT3100,Fall 2018,83565,Liu,45,13,28.89,15.38,30.77,38.46,7.69,7.69,3.38,14.29,19.64,33.93,5.36,5.36,2.41,1630,75,MW,51,1205,3,Computational Structures
COT3100,Fall 2018,83686,Gultepe,51,8,15.69,50,12.5,0,25,0,4,20,29.09,38.18,0,3.64,2.66,1630,75,TR,4,1706,3,Computational Structures
COT3100,Summer 2018,50042,Asaithambi,35,6,17.14,66.67,0,0,16.67,0,4.4,12.82,28.21,25.64,7.69,12.82,2.24,1050,100,MTWR,15,1104,3,Computational Structures
COT3100,Spring 2018,11582,Jethwani,47,13,27.66,23.08,46.15,15.38,7.69,7.69,3.69,20,46,26,2,0,2.89,1630,75,TR,2,1018,3,Computational Structures
COT3100,Spring 2018,10089,Asaithambi,33,12,36.36,58.33,33.33,8.33,0,0,4.5,10,22.5,25,15,7.5,2.16,1050,75,TR,4,2305,3,Computational Structures
COT3100,Spring 2018,12289,Asaithambi,41,21,51.22,80.95,9.52,9.52,0,0,4.71,16,34,16,10,4,2.6,1505,75,TR,2,1018,3,Computational Structures
COT3100,Fall 2017,83208,Asaithambi,40,15,37.5,80,6.67,0,13.33,0,4.53,11.11,35.56,20,11.11,11.11,2.28,1340,75,TR,39A,1034,3,Computational Structures
COT3100,Fall 2017,83395,Chuan,40,18,45,44.44,27.78,16.67,0,0,4.31,25,29.54,22.73,6.82,6.82,2.7,1630,75,MW,51,1103,3,Computational Structures
COT3100,Fall 2017,83209,Asaithambi,42,10,23.81,30,30,20,0,0,4.13,18.97,27.59,15.52,5.17,5.17,2.69,1630,75,TR,15,1303,3,Computational Structures
COT3100,Summer 2017,50048,Balcar,46,17,36.96,82.35,11.76,0,5.88,0,4.71,17.39,39.13,26.09,8.7,6.52,2.53,1620,100,TWR,39,1026,3,Computational Structures
COT3100,Spring 2017,11863,Balcar,38,19,50,78.95,15.79,5.26,0,0,4.74,9.52,40.48,33.33,4.76,2.38,2.54,1630,75,TR,51,1104,3,Computational Structures
COT3100,Spring 2017,10092,Asaithambi,35,6,17.14,16.67,33.33,33.33,0,0,3.8,18.6,11.63,27.91,9.3,13.95,2.14,1050,75,TR,2,2010,3,Computational Structures
COT3100,Spring 2017,13010,Asaithambi,33,13,39.39,30.77,46.15,15.38,0,0,4.17,17.95,12.82,25.64,20.51,7.69,2.15,1340,75,TR,51,1102,3,Computational Structures
COT3100,Fall 2016,80617,Asaithambi,45,21,46.67,52.38,23.81,9.52,9.52,4.76,4.1,8.19,21.31,36.07,1.64,6.56,2.31,1340,75,TR,3,1341,3,Computational Structures
COT3100,Fall 2016,80618,Balcar,59,24,40.68,50,25,25,0,0,4.25,15.87,38.09,23.81,6.35,9.52,2.47,1630,75,TR,51,1209,3,Computational Structures
