course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits,title
ENC1143,Summer 2019,51571,Lachapelle,22,7,31.82,14.29,28.57,14.29,28.57,14.29,3.00,37.5,16.66,4.17,12.5,20.83,2.37,,,,Online,,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,51172,Bartlett,24,22,91.67,45.45,40.91,4.55,0.00,4.55,4.29,64,20,4,0,8,3.34,1430,100,MTWR,2,2008,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,51572,Lachapelle,23,11,47.83,18.18,54.55,9.09,18.18,0.00,3.73,56.52,17.4,13.049999,0,13.04,2.98,,,,Online,,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,51738,McElroy,27,11,40.74,54.55,18.18,0.00,9.09,9.09,4.10,29.63,59.260002,11.11,0,0,3.16,1050,100,MTWR,2,2216,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,50471,Cohen,22,6,27.27,50.00,16.67,16.67,0.00,0.00,4.40,63.64,18.18,4.55,4.55,9.09,3.17,,,,Online,,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,51736,Hughes,26,14,53.85,71.43,28.57,0.00,0.00,0.00,4.71,74.07,11.11,3.7,0,7.41,3.48,,,,Online,,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,51737,McElroy,27,14,51.85,28.57,35.71,28.57,7.14,0.00,3.86,18.52,66.659996,7.41,0,7.41,2.92,0900,100,MTWR,2,2216,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,51735,Hughes,26,12,46.15,66.67,25.00,0.00,0.00,0.00,4.73,53.85,30.77,11.54,0,3.85,3.25,,,,Online,,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,50197,Chapman,23,16,69.57,75.00,18.75,0.00,6.25,0.00,4.63,68,20,0,4,0,3.59,1050,100,MTWR,2,2219,3,Introduction to Rhetoric and Narrative
ENC1143,Summer 2019,50296,Cohen,25,13,52.00,84.62,0.00,0.00,7.69,0.00,4.75,64,12,16,8,0,3.22,1240,100,MTWR,45,2610,3,Introduction to Rhetoric and Narrative
