course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits,title
SPC4064,Summer 2022,53702,Weaver,18,4,22.22,25,25,25,25,0,3.5,38.89,38.9,16.67,0,5.56,3.12,,,,Online,,3,Public Speaking for Professionals
SPC4064,Summer 2022,53756,Preslar,18,3,16.67,33.33,0,33.33,0,0,4,50,16.67,22.22,0,11.11,2.94,1810,210,TR,Online,,3,Public Speaking for Professionals
SPC4064,Summer 2022,53640,Preslar,12,5,41.67,100,0,0,0,0,5,58.33,33.33,8.33,0,0,3.5,1810,210,MW,Online,,3,Public Speaking for Professionals
SPC4064,Summer 2022,53764,Mathies,20,7,35,71.43,14.29,0,14.29,0,4.43,60,25,5,0,10,3.19,,,,Online,,3,Public Speaking for Professionals
SPC4064,Spring 2022,10093,Mathies,20,11,55,72.73,18.18,0,0,0,4.8,75,20,5,0,0,3.66,,,,Online,,3,Public Speaking for Professionals
SPC4064,Spring 2022,13421,Stewart,19,5,26.32,20,20,0,20,40,2.6,25,35,15,5,15,2.53,,,,Online,,3,Public Speaking for Professionals
SPC4064,Spring 2022,10905,Weaver,20,7,35,57.14,0,28.57,14.29,0,4,35,40,25,0,0,3.18,,,,Online,,3,Public Speaking for Professionals
SPC4064,Spring 2022,13420,Price,19,5,26.32,80,20,0,0,0,4.8,50,35,5,0,5,3.3,1800,165,T,14D,1016,3,Public Speaking for Professionals
SPC4064,Spring 2022,10616,Mathies,20,5,25,40,20,40,0,0,4,40,40,15,0,5,3.09,,,,Online,,3,Public Speaking for Professionals
SPC4064,Spring 2022,10731,Weaver,20,5,25,60,20,0,20,0,4.2,45,15,15,0,25,2.52,,,,Online,,3,Public Speaking for Professionals
SPC4064,Fall 2021,85175,Mathies,17,7,41.18,57.14,42.86,0,0,0,4.57,42.11,36.84,5.26,0,5.26,3.25,,,,Online,,3,Public Speaking for Professionals
SPC4064,Fall 2021,87980,Price,17,9,52.94,44.44,33.33,11.11,11.11,0,4.11,73.68,15.79,0,0,0,3.82,1800,165,T,14D,1016,3,Public Speaking for Professionals
SPC4064,Fall 2021,86711,Stewart,12,5,41.67,40,0,60,0,0,3.8,28.57,28.57,28.58,0,0,3.03,,,,Online,,3,Public Speaking for Professionals
SPC4064,Fall 2021,85174,Mathies,20,3,15,66.67,33.33,0,0,0,4.67,40,40,5,0,15,2.83,,,,Online,,3,Public Speaking for Professionals
SPC4064,Fall 2021,86441,Weaver,19,6,31.58,33.33,33.33,16.67,0,0,4.2,35,35,5,0,20,2.73,,,,Online,,3,Public Speaking for Professionals
SPC4064,Fall 2021,85176,Mathies,19,5,26.32,80,20,0,0,0,4.8,57.89,26.3,10.53,5.26,0,3.27,,,,Online,,3,Public Speaking for Professionals
SPC4064,Fall 2021,85177,Weaver,17,3,17.65,33.33,66.67,0,0,0,4.33,42.11,26.32,0,0,21.05,2.73,,,,Online,,3,Public Speaking for Professionals
SPC4064,Summer 2021,51926,Mathies,20,9,45,88.89,11.11,0,0,0,4.89,80,15,5,0,0,3.72,,,,Online,,3,Public Speaking for Professionals
SPC4064,Summer 2021,52092,Weaver,14,2,14.29,100,0,0,0,0,5,35.29,35.28,11.76,0,0,3.26,,,,Online,,3,Public Speaking for Professionals
SPC4064,Summer 2021,52014,Preslar,10,3,30,100,0,0,0,0,5,50,40,10,0,0,3.4,1810,210,TR,Remote Instruction,,3,Public Speaking for Professionals
SPC4064,Summer 2021,52077,Weaver,17,4,23.53,50,0,25,0,25,3.5,47.06,35.29,17.64,0,0,3.36,,,,Online,,3,Public Speaking for Professionals
SPC4064,Spring 2021,10095,Mathies,19,6,31.58,83.33,0,16.67,0,0,4.67,35,30,20,5,5,2.89,,,,Online,,3,Public Speaking for Professionals
