course,term,crn,instructor,enrolled,responded,response_rate,percent_5,percent_4,percent_3,percent_2,percent_1,rating,A,B,C,D,F,average_gpa,start_time,duration,days,building,room,credits,title
STA2014,Summer 2022,53539,Jia,13,4,30.77,75,25,0,0,0,4.75,23.07,61.54,7.69,0,7.69,2.95,1050,100,TRF,15,1202,3,Elementary Statistics for Health and Social Sciences
STA2014,Summer 2022,54625,Safar,17,5,29.41,40,0,20,20,0,3.75,0,0,0,0,0,0,1240,100,TRF,39,1026,3,Elementary Statistics for Health and Social Sciences
STA2014,Summer 2022,53805,Mechmech,49,6,12.24,66.67,16.67,0,16.67,0,4.33,28.57,26.52,28.57,4.08,12.24,2.56,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Summer 2022,54095,Buzaianu,41,19,46.34,36.84,21.05,15.79,5.26,15.79,3.61,6.82,15.91,22.73,2.27,43.18,1.38,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Summer 2022,54125,Grimes,43,13,30.23,38.46,7.69,38.46,7.69,7.69,3.62,4.65,27.91,46.51,9.3,11.63,2.1,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,13320,Razaila,33,9,27.27,11.11,22.22,22.22,11.11,11.11,3.14,8.57,20,37.14,0,28.57,1.82,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,13321,Razaila,31,4,12.9,0,0,50,25,0,2.67,8.57,25.71,31.43,5.71,17.14,2.07,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11185,Jones,33,23,69.7,56.52,34.78,0,4.35,0,4.5,18.92,18.92,29.73,10.81,10.81,2.28,1630,75,MW,10,1319,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,10792,Grimes,8,3,37.5,33.33,33.33,0,0,33.33,3.33,8.33,0,16.66,16.67,25,1.29,1340,75,TR,15,1303,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11881,Kennon,34,13,38.24,84.62,15.38,0,0,0,4.85,39.47,34.2,7.89,0,7.89,3.08,0900,75,MW,42,2124,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,10794,Jones,31,7,22.58,71.43,28.57,0,0,0,4.71,21.62,10.81,24.33,5.41,21.62,2.09,1050,75,TR,10,1353,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,10900,Mechmech,36,14,38.89,57.14,28.57,0,14.29,0,4.29,29.73,32.43,24.33,0,10.81,2.74,1800,75,TR,10,1343,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11186,Hoyt,28,7,25,42.86,28.57,0,14.29,0,4.17,17.64,20.59,26.47,5.88,11.76,2.35,1340,75,TR,10,1345,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,10790,Grimes,13,1,7.69,100,0,0,0,0,5,0,0,30,0,20,1.23,1340,75,TR,15,1303,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11882,Safar,36,10,27.78,40,10,40,0,0,4,54.05,29.72,10.8,0,2.7,3.39,1030,75,MW,39,2006,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,13178,Hoyt,25,6,24,50,0,16.67,16.67,0,4,9.09,21.21,18.18,9.09,18.18,1.96,1030,75,MW,10,1319,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,13331,Wagh,37,16,43.24,50,12.5,6.25,18.75,6.25,3.87,10,32.5,27.5,7.5,15,2.15,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11053,Buzaianu,36,26,72.22,46.15,23.08,23.08,0,3.85,4.12,20.51,25.63,25.64,15.38,5.13,2.5,1200,75,MW,10,1327,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11297,Hoyt,29,9,31.03,44.44,33.33,11.11,11.11,0,4.11,22.86,17.14,25.71,2.86,14.29,2.45,1505,75,TR,10,1319,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11187,Jones,29,10,34.48,90,10,0,0,0,4.9,8.33,22.22,13.89,19.44,16.67,1.84,0925,75,TR,10,1319,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11183,Buzaianu,28,16,57.14,50,31.25,18.75,0,0,4.31,11.43,37.14,22.86,0,8.57,2.56,0900,75,MW,10,1343,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,10789,Grimes,26,6,23.08,0,66.67,16.67,0,16.67,3.33,5.72,5.72,22.86,11.43,28.57,1.3,1340,75,TR,15,1303,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,11182,Kim,31,10,32.26,80,0,10,10,0,4.5,18.18,18.18,24.24,15.15,18.18,2.06,1930,75,TR,10,1327,3,Elementary Statistics for Health and Social Sciences
STA2014,Spring 2022,12042,Wagh,38,11,28.95,36.36,27.27,9.09,0,9.09,4,27.5,32.5,17.5,5,12.5,2.57,,,,Online,,3,Elementary Statistics for Health and Social Sciences
STA2014,Fall 2021,86990,Razaila,30,19,63.33,15.79,10.53,26.32,26.32,0,3.2,17.14,34.29,17.14,5.71,8.57,2.55,,,,Online,,3,Elementary Statistics for Health and Social Sciences
